exterior column,interior column,beam
W36X441,W36X441,W36X182
W36X441,W36X441,W36X182
W36X256,W36X330,W36X160
W36X256,W36X330,W36X160
W36X232,W36X330,W36X160
W36X232,W36X330,W36X160
W36X247,W36X330,W36X194
W36X247,W36X330,W36X194
W36X232,W36X302,W36X160
W36X232,W36X302,W36X160
W36X210,W33X291,W36X150
W36X210,W33X291,W36X150
W36X182,W33X263,W36X150
W36X182,W33X263,W36X150
W36X170,W33X263,W30X132
W36X170,W33X263,W30X132
W14X426,W33X169,W30X124
W14X426,W33X169,W30X124
W14X257,W27X129,W21X93
W14X257,W27X129,W21X93
